ID,Name,Sex,Age,Height,Weight,Team,country,Games,Year,Season,City,Sport,Event,Medal
112071,Helena Olsson Smeby,F,30.0,164.0,,Norway,NOR,2014 Winter,2014,Winter,Sochi,Ski Jumping,"Ski Jumping Women's Normal Hill, Individual",
112072,Sigurd Smebye,M,26.0,,,Norway,NOR,1912 Summer,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Bronze
112082,Harald Gunvald Smedvik (Hansen-),M,20.0,,,Norway,NOR,1908 Summer,1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Silver
112090,Georg Smefjell,M,26.0,179.0,70.0,Norway,NOR,1964 Winter,1964,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,
112090,Georg Smefjell,M,30.0,179.0,70.0,Norway,NOR,1968 Winter,1968,Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,
112270,Halvor Ramel Smith,M,24.0,186.0,78.0,Norway,NOR,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Multihull,
112365,Johannes Olliver Smith,M,21.0,,,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Modern Pentathlon,Modern Pentathlon Men's Individual,
112365,Johannes Olliver Smith,M,25.0,,,Norway,NOR,1924 Summer,1924,Summer,Paris,Modern Pentathlon,Modern Pentathlon Men's Individual,
112428,Trygve Smith,M,31.0,,,Norway,NOR,1912 Summer,1912,Summer,Stockholm,Tennis,Tennis Men's Singles,
112428,Trygve Smith,M,31.0,,,Norway-3,NOR,1912 Summer,1912,Summer,Stockholm,Tennis,Tennis Men's Doubles,
112552,John Andersen Snersrud,M,25.0,,,Norway,NOR,1928 Winter,1928,Winter,Sankt Moritz,Nordic Combined,Nordic Combined Men's Individual,Bronze
112564,Ingvild Nicoline Nerdrum Snildal,F,19.0,178.0,,Norway,NOR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Butterfly,
112564,Ingvild Nicoline Nerdrum Snildal,F,19.0,178.0,,Norway,NOR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Butterfly,
112564,Ingvild Nicoline Nerdrum Snildal,F,23.0,178.0,,Norway,NOR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Butterfly,
112564,Ingvild Nicoline Nerdrum Snildal,F,23.0,178.0,,Norway,NOR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Butterfly,
112580,Gril Snorroeggen,F,23.0,177.0,,Norway,NOR,2008 Summer,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold
112580,Gril Snorroeggen,F,27.0,177.0,,Norway,NOR,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Gold
112866,Bjarne Solbakken,M,24.0,180.0,82.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Downhill,
112866,Bjarne Solbakken,M,24.0,180.0,82.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,
112866,Bjarne Solbakken,M,24.0,180.0,82.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
112866,Bjarne Solbakken,M,28.0,180.0,82.0,Norway,NOR,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Downhill,
112866,Bjarne Solbakken,M,28.0,180.0,82.0,Norway,NOR,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Super G,
112866,Bjarne Solbakken,M,28.0,180.0,82.0,Norway,NOR,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
112867,Flemming Bjarne Solberg,M,22.0,168.0,62.0,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Individual All-Around,
112867,Flemming Bjarne Solberg,M,22.0,168.0,62.0,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Floor Exercise,
112867,Flemming Bjarne Solberg,M,22.0,168.0,62.0,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Horse Vault,
112867,Flemming Bjarne Solberg,M,22.0,168.0,62.0,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Parallel Bars,
112867,Flemming Bjarne Solberg,M,22.0,168.0,62.0,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Horizontal Bar,
112867,Flemming Bjarne Solberg,M,22.0,168.0,62.0,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Rings,
112867,Flemming Bjarne Solberg,M,22.0,168.0,62.0,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Pommelled Horse,
112867,Flemming Bjarne Solberg,M,27.0,168.0,62.0,Norway,NOR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,
112867,Flemming Bjarne Solberg,M,27.0,168.0,62.0,Norway,NOR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Floor Exercise,
112867,Flemming Bjarne Solberg,M,27.0,168.0,62.0,Norway,NOR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horse Vault,
112867,Flemming Bjarne Solberg,M,27.0,168.0,62.0,Norway,NOR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Parallel Bars,
112867,Flemming Bjarne Solberg,M,27.0,168.0,62.0,Norway,NOR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horizontal Bar,
112867,Flemming Bjarne Solberg,M,27.0,168.0,62.0,Norway,NOR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Rings,
112867,Flemming Bjarne Solberg,M,27.0,168.0,62.0,Norway,NOR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Pommelled Horse,
112868,Henrik Solberg,M,26.0,191.0,100.0,Norway,NOR,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,
112869,Magnar Solberg,M,31.0,180.0,68.0,Norway,NOR,1968 Winter,1968,Winter,Grenoble,Biathlon,Biathlon Men's 20 kilometres,Gold
112869,Magnar Solberg,M,31.0,180.0,68.0,Norway,NOR,1968 Winter,1968,Winter,Grenoble,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Silver
112869,Magnar Solberg,M,34.0,180.0,68.0,Norway,NOR,1972 Winter,1972,Winter,Sapporo,Biathlon,Biathlon Men's 20 kilometres,Gold
112869,Magnar Solberg,M,34.0,180.0,68.0,Norway,NOR,1972 Winter,1972,Winter,Sapporo,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,
112870,Olaf Solberg,M,27.0,,,Kristiania Roklub-1,NOR,1912 Summer,1912,Summer,Stockholm,Rowing,"Rowing Men's Coxed Fours, Inriggers",
112870,Olaf Solberg,M,27.0,,,Kristiania Roklub,NOR,1912 Summer,1912,Summer,Stockholm,Rowing,Rowing Men's Coxed Eights,
112872,Sanna Charlotte Solberg,F,26.0,178.0,70.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Bronze
112873,"Elsa Katrine ""Trine"" Solberg-Hattestad",F,18.0,173.0,76.0,Norway,NOR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Javelin Throw,
112873,"Elsa Katrine ""Trine"" Solberg-Hattestad",F,22.0,173.0,76.0,Norway,NOR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Javelin Throw,
112873,"Elsa Katrine ""Trine"" Solberg-Hattestad",F,26.0,173.0,76.0,Norway,NOR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Javelin Throw,
112873,"Elsa Katrine ""Trine"" Solberg-Hattestad",F,30.0,173.0,76.0,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Javelin Throw,Bronze
112873,"Elsa Katrine ""Trine"" Solberg-Hattestad",F,34.0,173.0,76.0,Norway,NOR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Javelin Throw,Gold
112889,Hakon Solem,M,40.0,,,Apache,NOR,1948 Summer,1948,Summer,London,Sailing,Sailing Mixed 6 metres,
112890,Kari Solem (-Aune),F,21.0,182.0,71.0,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Handball,Handball Women's Handball,
112891,Synnve Solemdal,F,24.0,175.0,70.0,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 7.5 kilometres Sprint,
112891,Synnve Solemdal,F,24.0,175.0,70.0,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 10 kilometres Pursuit,
112902,Sebastian Foss Solevg,M,22.0,182.0,,Norway,NOR,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Slalom,
112906,Leif Sigurd Solheim,M,19.0,,,Norway,NOR,1952 Winter,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,
